,title,length,views,url
44,NATALIA MALDINI: El machismo en la industria del cine,60,824,https://www.youtube.com/watch?v=cODcojX6DpI
45,HARTA del MICROMACHISMO 🤬 #podcast #machismo #entrevista #terapia #igualdad #salud #mexico #cdmx,47,440,https://www.youtube.com/watch?v=wR0Zm-uOiTk
46,Ángela Ponce habla sobre su transición en Querido Hater,59,110567,https://www.youtube.com/watch?v=6oSEBiOCx0I
47,“Las mujeres tienen también que hacer pesas” 🏋️‍♀️#tengounplan,59,2290028,https://www.youtube.com/watch?v=IC6BsMn8jD4
48,Escúchalo completo en Más Allá del Rosa en YouTube,60,23351,https://www.youtube.com/watch?v=KAOO0VENiRI
49,Qué son los roles de género 🤔 #estereotipos #genero #hombre #mujer #sociedad,60,245,https://www.youtube.com/watch?v=5lUxXJFxEGE
50,🚨 Los roles de género de antes VS ahora #ponchodenigris #rolesdegenero,60,2492,https://www.youtube.com/watch?v=L_TpIcvz0_c
51,Revolucionando los roles de género  Deconstruyendo expectativas sobre ser mujer y madre #podcast,37,1061,https://www.youtube.com/watch?v=OgQBul-arfo
52,Nuevos roles de género,57,1341,https://www.youtube.com/watch?v=tyg2-2mn0t4
53,Creciendo en diferentes roles de género Mi lucha por la aceptación y el humor,40,6510,https://www.youtube.com/watch?v=Pr6EQW2mtEI
54,“¿La violencia de género puede ser entre mujeres?”,60,1497,https://www.youtube.com/watch?v=cc_Dm2AGddc
55,Como ser empatico rompiendo con los roles de genero. Ep completo en #youtube #pareja #millennials,35,449,https://www.youtube.com/watch?v=VuObcE5tRK0
56,Educación y roles de género.,56,128,https://www.youtube.com/watch?v=s1xeYl1x-F0
57,Los roles de género 👊 #pedroprieto #pedroprietopodcast #rolesdegenero #hombresymujeres,16,2807,https://www.youtube.com/watch?v=mq5ETXezJ1k
58,Los roles de género pueden ser asfixiantes 🙄 #podcast #seregalandudas,57,6503,https://www.youtube.com/watch?v=fa8YAaqevAM
59,¿Cómo es ser mujer empoderada hoy en día? #empoderamiento #psicologia #mujer #poderfemenino,49,11137,https://www.youtube.com/watch?v=dk9YtTucrmM
60,"Una mujer empoderada, empodera a las demás💪🏻#podcast #foryou #fyp #mujeres #empoderamiento #shorts",21,1842,https://www.youtube.com/watch?v=WWKDhQCad6w
61,AMOR PROPIO✨ #autoestima #autoestimaalta #empoderamiento #autoestimabaja #motivation,39,157,https://www.youtube.com/watch?v=ur64ivBsa_s
62,La brecha salarial no existe. @paulattier #brechasalarial #feminismo #redpillpodcast,54,256315,https://www.youtube.com/watch?v=8GeaH7aD-SI
63,La LUCHA es de TODOS #shorts #saludmental #hombres #mujeres #lucha,60,7970,https://www.youtube.com/watch?v=hZVZvmdhnMo
64,Ser fiel no es un sacrificio Es un privilegio Que pocas Personas tienen 👏🏻❤️,12,3755,https://www.youtube.com/watch?v=Q8gPf9vfhQ0
65,El privilegio que tener un hombre así#shorts/Lecciones de mujer💋,21,447,https://www.youtube.com/watch?v=lusZ9jPRTh8
66,#AmigoDateCuenta Hablemos de los privilegios con los que nos crian a los varones,67,42738,https://www.youtube.com/watch?v=q4bWBw-b98E
67,Los privilegios de ser hombre …,46,70,https://www.youtube.com/watch?v=rh2S5iqAxG4
68,PRIVILEGIOS POR SER HOMBRE,56,2221,https://www.youtube.com/watch?v=x_jILT3quz8
69,Privilegios masculinos y que hacer con ellos.,28,422,https://www.youtube.com/watch?v=iNRNhBpOz5Y
70,Hombre blanco privilegiado.,28,30089,https://www.youtube.com/watch?v=xjK1IHK4izQ
